t,event_type,task_id,robot_id,payload_json
28.000,ANNOUNCE,survey-00-0011,r00,"{""deadline"":29.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.2,0.2],""sender"":""r00"",""t"":28.0,""t_ref"":7.5,""task_id"":""survey-00-0011"",""type"":""survey""}"
28.000,ANNOUNCE,survey-23-0009,r02,"{""deadline"":29.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.4000000000000001,1.8],""sender"":""r02"",""t"":28.0,""t_ref"":0.0,""task_id"":""survey-23-0009"",""type"":""survey""}"
28.000,ANNOUNCE,survey-24-0010,r03,"{""deadline"":29.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.8],""sender"":""r03"",""t"":28.0,""t_ref"":0.0,""task_id"":""survey-24-0010"",""type"":""survey""}"
28.200,ANNOUNCE,survey-14-0000,r00,"{""deadline"":29.2,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.0],""sender"":""r00"",""t"":28.2,""t_ref"":0.0,""task_id"":""survey-14-0000"",""type"":""survey""}"
28.200,ANNOUNCE,survey-19-0005,r05,"{""deadline"":29.2,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.4000000000000001],""sender"":""r05"",""t"":28.2,""t_ref"":0.0,""task_id"":""survey-19-0005"",""type"":""survey""}"
29.000,FAILED,survey-00-0011,r00,{}
29.000,FAILED,survey-23-0009,r02,{}
29.000,FAILED,survey-24-0010,r03,{}
29.200,FAILED,survey-14-0000,r00,{}
29.200,FAILED,survey-19-0005,r05,{}
30.000,ANNOUNCE,survey-04-0012,r04,"{""deadline"":31.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,0.2],""sender"":""r04"",""t"":30.0,""t_ref"":11.5,""task_id"":""survey-04-0012"",""type"":""survey""}"
31.000,ANNOUNCE,survey-04-0012,r04,"{""deadline"":32.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,0.2],""sender"":""r04"",""t"":31.0,""t_ref"":11.5,""task_id"":""survey-04-0012"",""type"":""survey""}"
