seed,strategy,events_injected,events_detected,roi_announced,roi_completed,roi_failed,roi_open_end,completion_rate,detection_rate,mean_completion_time,median_completion_time,coverage_fraction,coverage_cells_per_s,load_imbalance,messages_per_completed,bytes_per_completed,messages_total,bytes_total,mean_cell_idleness,max_cell_idleness,mean_detection_latency,preemptions,mean_final_battery,min_final_battery,battery_imbalance,depleted_robots,first_depletion_time,distance_travelled,max_observed_workload,n_req_violations,conservation_error,quality_score
1010,nearest_greedy_no_survey,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,39.7,33.4,1.0,5.333333333333333,2.312344865176949,9.884615384615385,945.1538461538462,257,24574,22.066422628951752,157.0,15.657875444316945,0,0.5030969142856451,0.13935999999997922,0.2385189673898506,0,300.0,76.62399999999774,3,0,0,0.8282831345210185
1010,random_assignment,28,25,25,22,0,3,0.7857142857142857,0.8928571428571429,49.08636363636363,40.550000000000004,0.946875,5.05,1.7612611437054218,39.40909090909091,6104.409090909091,867,134297,41.29567387687188,300.0,17.83708584404944,0,0.4969627428570747,0.14146559999997915,0.24093981592703545,0,300.0,81.19199999999726,3,0,0,0.7901729790887704
1011,market,28,28,28,28,0,0,1.0,1.0,29.85,23.95,0.999375,5.33,1.8844151368961313,36.5,5170.321428571428,1022,144769,31.763960066555722,275.5,12.126661630286888,27,0.5007979428570761,0.1431199999999791,0.24068164066760792,0,300.0,78.33599999999758,2,0,0,0.8729980546872521
1011,nearest_greedy,28,28,28,27,0,1,0.9642857142857143,1.0,45.6,30.900000000000006,1.0,5.333333333333333,1.498298354528788,34.2962962962963,5213.7037037037035,926,140770,33.75151414309487,269.0,17.108804487429744,0,0.5096607999999374,0.12101119999998382,0.23731408515578167,0,300.0,71.73599999999806,3,0,0,0.8723635095111566
1011,nearest_greedy_no_survey,28,28,28,26,0,2,0.9285714285714286,1.0,41.21153846153846,32.55000000000001,1.0,5.333333333333333,2.5314350209527645,10.307692307692308,986.8846153846154,268,25659,26.594841930116477,263.0,11.662375916001173,0,0.5077593142856548,0.12071039999998087,0.2487112601254737,0,300.0,73.15199999999743,3,0,0,0.8219189635768868
1011,random_assignment,28,28,28,28,0,0,1.0,1.0,44.68571428571429,44.85,0.975625,5.203333333333333,1.6413036132965797,33.857142857142854,5091.75,948,142569,37.39314475873549,300.0,16.5909473445726,0,0.4943522285713646,0.10965599999998293,0.2542677844037693,0,300.0,83.13599999999705,3,0,0,0.8744193135902707
1012,market,28,28,28,28,0,0,1.0,1.0,40.46071428571429,30.300000000000004,0.97875,5.22,1.0690449676496976,37.964285714285715,5845.428571428572,1063,163672,51.62702163061564,276.5,19.038206583923394,23,0.5226811428570877,0.1516927999999788,0.2540820620857978,0,300.0,62.03999999999919,3,0,0,0.8975589855105973
1012,nearest_greedy,28,28,28,28,0,0,1.0,1.0,49.50714285714286,56.9,1.0,5.333333333333333,1.3093073414159544,34.964285714285715,5564.571428571428,979,155808,57.08895174708816,286.0,16.234635155351963,0,0.5344660571428053,0.16026559999997853,0.24342832232774672,0,300.0,53.26399999999964,3,0,0,0.8850959481276509
1012,nearest_greedy_no_survey,28,28,28,26,1,1,0.9285714285714286,1.0,55.69615384615384,58.0,1.0,5.333333333333333,1.3997084244475304,9.115384615384615,894.1538461538462,237,23248,36.851913477537465,278.0,17.03820658392339,0,0.5206292571428015,0.17695999999997797,0.24757839936242249,0,300.0,63.56799999999873,3,0,0,0.8622472444446978
1012,random_assignment,28,27,27,24,1,2,0.8571428571428571,0.9642857142857143,59.458333333333336,59.44999999999999,0.994375,5.303333333333334,1.5779087167410373,39.166666666666664,6316.75,940,151602,59.38389351081537,292.5,20.515409875748354,0,0.5274831999999465,0.15590399999997867,0.24953796566190184,0,300.0,58.46399999999945,3,0,0,0.8215976009308545
